,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Liberty Av,Van Siclen Av,Shepherd Av,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
104 St,71.93333333333334,70.03571428571429,67.53571428571429,65.53571428571429,64.53571428571429,62.535714285714285,58.8,55.392857142857146,47.107142857142854,43.63333333333333,42.63333333333333,39.464285714285715,37.464285714285715,34.964285714285715,32.964285714285715,31.464285714285715,28.433333333333334,25.933333333333334,24.266666666666666,19.678571428571427,17.178571428571427,13.607142857142858,,,,8.5,6.5,5.0,3.0,1.5,0.0,1.5,3.0,,,,,,,,,,,,,
111 St,75.93333333333334,73.82142857142857,71.32142857142857,69.32142857142857,68.32142857142857,66.32142857142857,62.53333333333333,59.035714285714285,50.75,47.233333333333334,46.233333333333334,43.035714285714285,41.035714285714285,38.535714285714285,36.535714285714285,35.035714285714285,31.966666666666665,29.466666666666665,27.8,23.178571428571427,20.678571428571427,17.107142857142858,,,,11.928571428571429,9.928571428571429,8.428571428571429,6.428571428571429,4.928571428571429,2.0,0.0,1.5,,,,,,,,,,,,,
Ozone Park-Lefferts Blvd,77.43333333333334,75.32142857142857,72.82142857142857,70.82142857142857,69.82142857142857,67.82142857142857,64.03333333333333,60.535714285714285,52.25,48.733333333333334,47.733333333333334,44.535714285714285,42.535714285714285,40.035714285714285,38.035714285714285,36.535714285714285,33.46666666666667,30.966666666666665,29.3,24.678571428571427,22.178571428571427,18.607142857142858,,,,13.428571428571429,11.428571428571429,9.928571428571429,7.928571428571429,6.428571428571429,3.5,1.5,0.0,,,,,,,,,,,,,
Aqueduct-N Conduit Av,73.5,71.42307692307692,68.92307692307692,66.92307692307692,65.92307692307692,64.0,60.416666666666664,56.916666666666664,48.708333333333336,45.375,44.375,41.25,39.27272727272727,36.875,34.875,33.375,30.375,27.90909090909091,26.272727272727273,21.75,19.25,15.5,,,,10.5,8.5,7.0,5.0,3.5,,,,0.0,2.0,9.394736842105264,13.892857142857142,15.392857142857142,17.4,18.9,20.9,22.4,13.0,15.0,16.5,19.0
Howard Beach-JFK Airport,75.0,72.92307692307692,70.42307692307692,68.42307692307692,67.42307692307692,65.5,61.916666666666664,58.416666666666664,50.208333333333336,46.875,45.875,42.75,40.77272727272727,38.375,36.375,34.875,31.875,29.40909090909091,27.772727272727273,23.25,20.75,17.0,,,,12.0,10.0,8.5,6.5,5.0,,,,1.5,0.0,7.0,11.5,13.0,15.033333333333333,16.533333333333335,18.533333333333335,20.033333333333335,10.5,12.5,14.0,16.5
Broad Channel,83.16666666666667,81.0,78.5,76.5,75.5,73.33333333333333,69.75,66.25,57.875,54.541666666666664,53.541666666666664,50.416666666666664,48.31818181818182,45.875,43.875,42.375,39.375,36.77272727272727,35.13636363636363,30.583333333333332,28.083333333333332,24.181818181818183,,,,19.166666666666668,17.166666666666668,15.666666666666666,13.653846153846153,12.0,,,,8.5,7.0,0.0,4.5,6.0,8.033333333333333,9.533333333333333,11.533333333333333,13.033333333333333,3.5,5.5,7.0,9.5
Beach 67 St,87.66666666666667,85.5,83.0,81.0,80.0,77.83333333333333,74.25,70.75,62.375,59.041666666666664,58.041666666666664,54.916666666666664,52.81818181818182,50.375,48.375,46.875,43.875,41.27272727272727,39.63636363636363,35.083333333333336,32.583333333333336,28.681818181818183,,,,23.666666666666668,21.666666666666668,20.166666666666668,18.153846153846153,16.5,,,,13.0,11.5,4.5,0.0,1.5,3.5,5.0,7.0,8.5,,,,
Beach 60 St,90.375,88.15384615384616,85.65384615384616,83.65384615384616,82.65384615384616,80.45833333333333,76.875,73.375,64.91666666666667,61.583333333333336,60.583333333333336,57.458333333333336,55.31818181818182,52.833333333333336,50.833333333333336,49.333333333333336,46.333333333333336,43.68181818181818,42.04545454545455,37.458333333333336,34.958333333333336,31.0,,,,25.958333333333332,23.958333333333332,22.458333333333332,20.423076923076923,18.75,,,,15.25,13.75,6.625,1.5,0.0,2.0,3.5,5.5,7.0,,,,
Beach 44 St,94.04166666666667,91.73076923076923,89.23076923076923,87.23076923076923,86.23076923076923,84.0,80.41666666666667,76.91666666666667,68.375,65.04166666666667,64.04166666666667,60.916666666666664,58.72727272727273,56.208333333333336,54.208333333333336,52.708333333333336,49.708333333333336,47.0,45.36363636363637,40.75,38.25,34.22727272727273,,,,29.083333333333332,27.083333333333332,25.583333333333332,23.53846153846154,21.833333333333332,,,,18.333333333333332,16.833333333333332,9.541666666666666,4.416666666666667,2.0,0.0,1.5,3.5,5.0,,,,
Beach 36 St,95.54166666666667,93.23076923076923,90.73076923076923,88.73076923076923,87.73076923076923,85.5,81.91666666666667,78.41666666666667,69.875,66.54166666666667,65.54166666666667,62.416666666666664,60.22727272727273,57.708333333333336,55.708333333333336,54.208333333333336,51.208333333333336,48.5,46.86363636363637,42.25,39.75,35.72727272727273,,,,30.583333333333332,28.583333333333332,27.083333333333332,25.03846153846154,23.333333333333332,,,,19.833333333333332,18.333333333333332,11.041666666666666,5.916666666666667,3.5,1.5,0.0,2.0,3.5,,,,
Beach 25 St,97.54166666666667,95.23076923076923,92.73076923076923,90.73076923076923,89.73076923076923,87.5,83.91666666666667,80.41666666666667,71.875,68.54166666666667,67.54166666666667,64.41666666666667,62.22727272727273,59.708333333333336,57.708333333333336,56.208333333333336,53.208333333333336,50.5,48.86363636363637,44.25,41.75,37.72727272727273,,,,32.583333333333336,30.583333333333332,29.083333333333332,27.03846153846154,25.333333333333332,,,,21.833333333333332,20.333333333333332,13.041666666666666,7.916666666666667,5.5,3.5,2.0,0.0,1.5,,,,
Far Rockaway-Mott Av,99.04166666666667,96.73076923076923,94.23076923076923,92.23076923076923,91.23076923076923,89.0,85.41666666666667,81.91666666666667,73.375,70.04166666666667,69.04166666666667,65.91666666666667,63.72727272727273,61.208333333333336,59.208333333333336,57.708333333333336,54.708333333333336,52.0,50.36363636363637,45.75,43.25,39.22727272727273,,,,34.083333333333336,32.083333333333336,30.583333333333332,28.53846153846154,26.833333333333332,,,,23.333333333333332,21.833333333333332,14.541666666666666,9.416666666666666,7.0,5.0,3.5,1.5,0.0,,,,
Beach 90 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.5,6.0
Beach 98 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5,4.0
Beach 105 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5
Rockaway Park-Beach 116 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
